ref_year,provider_code,code_year,provider_name,attrition_rate
2015,3016,3016-2016,University of Technology Sydney,9.73
2015,3019,3019-2016,The University of Queensland,9.09
2015,3020,3020-2016,La Trobe University,14.12
2015,3025,3025-2016,Macquarie University,9.55
2015,3027,3027-2016,University of South Australia,15.71
2015,3029,3029-2016,Flinders University,16.26
2015,3030,3030-2016,Deakin University,14.72
2015,3032,3032-2016,Griffith University,16.2
2015,3033,3033-2016,The Australian National University,13.72
2015,3034,3034-2016,RMIT University,11.07
2015,3035,3035-2016,Monash University,8.51
2015,3036,3036-2016,The University of Melbourne,5.76
2015,3038,3038-2016,Southern Cross University,25.72
2015,3039,3039-2016,The University of New England,25.29
2015,3040,3040-2016,The University of Sydney,7.38
2015,3042,3042-2016,Queensland University of Technology,11.52
2015,3043,3043-2016,University of the Sunshine Coast,21.88
2015,3044,3044-2016,The University of Notre Dame Australia,11.47
2015,3045,3045-2016,University of Tasmania,34.8
2015,4331,4331-2016,University of Divinity,20.75
2015,4332,4332-2016,Sydney College of Divinity,25
2015,4333,4333-2016,Christian Heritage College,28.4
2015,4334,4334-2016,Tabor Adelaide,24.1
2015,4335,4335-2016,Australian College of Theology,28.41
2015,4336,4336-2016,Australian College of Applied Psychology,30.65
2015,4337,4337-2016,Eastern College Australia,24
2015,4338,4338-2016,Moore Theological College,11.81
2015,4339,4339-2016,Holmes Institute,32.17
2015,4340,4340-2016,Monash College,14.71
2015,4341,4341-2016,Harvest Bible College,22.48
2015,4343,4343-2016,Australian Institute of Music,24.88
2015,4344,4344-2016,South Aust Institute of Business & Technology,28.09
2015,4346,4346-2016,Excelsia College,24.1
2015,4347,4347-2016,Tabor College NSW,23.08
2015,4348,4348-2016,Deakin College,26.09
2015,4349,4349-2016,Sydney Institute of Business and Technology,16.66
2015,4350,4350-2016,Queensland Institute of Business and Technology,19.21
2015,4352,4352-2016,The Australian College of Physical Education,25.18
2015,4355,4355-2016,Adelaide College of Divinity,40
2015,4357,4357-2016,Blue Mountains Intl Hotel Management School,79.94
2015,4359,4359-2016,The College of Law,24.69
2015,4360,4360-2016,Perth Bible College,46.15
2015,4361,4361-2016,Endeavour College of Natural Health,25.82
2015,4362,4362-2016,International College of Hotel Management,18.09
2015,4363,4363-2016,Northern Melbourne Institute of TAFE,25.56
2015,4364,4364-2016,Edith Cowan College,15.45
2015,4365,4365-2016,Curtin College,10.83
2015,4366,4366-2016,Box Hill Institute,24.68
2015,4367,4367-2016,Melbourne Institute of Technology,23.59
2015,4368,4368-2016,Campion College,24
2015,4370,4370-2016,Tabor College Tasmania,61.29
2015,4371,4371-2016,SAE Creative Media Institute,27.68
2015,4374,4374-2016,Carnegie Mellon University Australia,3.94
2015,4375,4375-2016,Think: Colleges Pty Ltd,32.91
2015,4377,4377-2016,UOW College,16.26
2015,4378,4378-2016,JMC Academy,27.48
2015,4380,4380-2016,UTS:INSEARCH,12.7
2015,4381,4381-2016,"International College of Management, Sydney",22.57
2015,4382,4382-2016,Australian Guild of Music Education Inc.,83.33
2015,4383,4383-2016,Holmesglen Institute of TAFE,32.8
2015,4384,4384-2016,Kaplan Business School,24.31
2015,4385,4385-2016,Polytechnic West,27.34
2015,4386,4386-2016,Macleay College,25.1
2015,4387,4387-2016,Raffles College of Design and Commerce,58.44
2015,4388,4388-2016,Australian Academy of Music and Performing Arts,23.08
2015,4389,4389-2016,Cairnmillar Institute School,4.2
2015,4391,4391-2016,Eynesbury,17.44
2015,4392,4392-2016,Gestalt Therapy Brisbane,12.77
2015,4393,4393-2016,MIECAT,13.33
2015,4394,4394-2016,William Angliss Institute of TAFE,27.49
2015,4395,4395-2016,Adelaide Central School of Art,18
2015,4396,4396-2016,LCI Melbourne,21.84
2015,4401,4401-2016,Whitehouse Institute of Design; Australia,31.18
2015,4402,4402-2016,Leo Cussen Institute,0
2015,4405,4405-2016,Australian Institute of Professional Counsellors,39.23
2015,4406,4406-2016,Canberra Institute of Technology,24.49
2015,4407,4407-2016,Alphacrucis College,33.74
2015,4409,4409-2016,Universal Business School Sydney (UBSS),34.03
2015,4410,4410-2016,Australian Institute of Management SA Division Inc,60.09
2015,4411,4411-2016,Stotts Colleges,62.21
2015,4412,4412-2016,Morling College,24.42
2015,4413,4413-2016,University College London,16.67
2015,4415,4415-2016,Top Education Institute,10.56
2015,4417,4417-2016,La Trobe Melbourne,21
2015,4418,4418-2016,Australian School of Management,30
2015,4419,4419-2016,National Art School,11.65
2015,4420,4420-2016,Kent Institute Australia,39.84
2015,4421,4421-2016,Le Cordon Bleu Australia,12.87
2015,4423,4423-2016,Tabor College Perth,37.5
2015,4424,4424-2016,Kaplan Higher Education,27.48
2015,4425,4425-2016,Australian Institute of Business,23.42
2015,4426,4426-2016,John Paul ll Institute for Marriage and Family,8.93
2015,4428,4428-2016,Nan Tien Institute,39.29
2015,4445,4445-2016,Investment Banking Institute Business School,100
2015,4450,4450-2016,TAFE Queensland,35.61
2015,4453,4453-2016,Australasian College of Health and Wellness,47.06
2015,4458,4458-2016,Australian Institute of Management Education & Training,26.67
2015,5555,5555-2016,Torrens University Australia,48.22
2015,7001,7001-2016,Collarts,29.67
2015,7007,7007-2016,Paramount College of Natural Medicine,38.1
2015,7014,7014-2016,Jazz Music Institute,8
2015,7035,7035-2016,Photography Studies College (Melbourne),18.75
2015,7041,7041-2016,Sydney Institute of Traditional Chinese Medicine,13.45
2015,7067,7067-2016,West Coast Institute of Training,43.48
2015,7072,7072-2016,Central Institute of Technology,21.05
2015,7073,7073-2016,Chisholm Institute,19.28
2015,7075,7075-2016,TAFE NSW,23.66
2015,7116,7116-2016,Study Group Australia Pty Ltd,32.7
2015,7124,7124-2016,Academy of Information Technology,28.33
2015,7125,7125-2016,Phoenix Institute of Australia Pty Ltd,66.67
2015,7252,7252-2016,AIPE,53.25
2015,7338,7338-2016,TAFE SA,21.91
2016,1019,1019-2017,James Cook University,21.16
2016,1034,1034-2017,Murdoch University,17.62
2016,1055,1055-2017,The University of Western Australia,9.03
2016,1058,1058-2017,University of Wollongong,14.63
2016,2148,2148-2017,The National Institute of Dramatic Art,9.28
2016,2154,2154-2017,Federation University Australia,26.33
2016,2170,2170-2017,Marcus Oldham College,10.78
2016,2177,2177-2017,Swinburne University of Technology,22.42
2016,2200,2200-2017,CQUniversity,23.84
2016,2201,2201-2017,University of Southern Queensland,25.84
2016,2235,2235-2017,Edith Cowan University,20.4
2016,2236,2236-2017,Curtin University,15.42
2016,2241,2241-2017,University of Canberra,17.24
2016,2252,2252-2017,Avondale College of Higher Education,20.3
2016,2271,2271-2017,"Australian Film, Television and Radio School",7.89
2016,3001,3001-2017,Charles Darwin University,30.84
2016,3003,3003-2017,Bond University,7.04
2016,3004,3004-2017,Western Sydney University,15.22
2016,3005,3005-2017,Charles Sturt University,20.81
2016,3006,3006-2017,Australian Catholic University,15.48
2016,3007,3007-2017,Victoria University,19.95
2016,3010,3010-2017,The University of Adelaide,9.68
2016,3013,3013-2017,University of New South Wales,6.91
2016,3014,3014-2017,The University of Newcastle,15.71
2016,3016,3016-2017,University of Technology Sydney,8.45
2016,3019,3019-2017,The University of Queensland,8.91
2016,3020,3020-2017,La Trobe University,16.36
2016,3025,3025-2017,Macquarie University,10.63
2016,3027,3027-2017,University of South Australia,15.66
2016,3029,3029-2017,Flinders University,17.52
2016,3030,3030-2017,Deakin University,14.93
2016,3032,3032-2017,Griffith University,16.23
2016,3033,3033-2017,The Australian National University,9.29
2016,3034,3034-2017,RMIT University,10.99
2016,3035,3035-2017,Monash University,7.78
2016,3036,3036-2017,The University of Melbourne,5.6
2016,3038,3038-2017,Southern Cross University,26.74
2016,3039,3039-2017,The University of New England,23.05
2016,3040,3040-2017,The University of Sydney,7.27
2016,3042,3042-2017,Queensland University of Technology,11.5
2016,3043,3043-2017,University of the Sunshine Coast,20.04
2016,3044,3044-2017,The University of Notre Dame Australia,10.87
2016,3045,3045-2017,University of Tasmania,29.83
2016,4331,4331-2017,University of Divinity,24.83
2016,4332,4332-2017,Sydney College of Divinity,22.67
2016,4333,4333-2017,Christian Heritage College,27.68
2016,4334,4334-2017,Tabor Adelaide,27.13
2016,4335,4335-2017,Australian College of Theology,21.02
2016,4336,4336-2017,Australian College of Applied Psychology,30.68
2016,4337,4337-2017,Eastern College Australia,26.32
2016,4338,4338-2017,Moore Theological College,19.42
2016,4339,4339-2017,Holmes Institute,25.09
2016,4340,4340-2017,Monash College,14.45
2016,4341,4341-2017,Harvest Bible College,22.16
2016,4343,4343-2017,Australian Institute of Music,25
2016,4344,4344-2017,South Aust Institute of Business & Technology,27.42
2016,4346,4346-2017,Excelsia College,18.09
2016,4347,4347-2017,Tabor College NSW,52.63
2016,4348,4348-2017,Deakin College,25.44
2016,4349,4349-2017,Sydney Institute of Business and Technology,16.24
2016,4350,4350-2017,Queensland Institute of Business and Technology,17.55
2016,4352,4352-2017,The Australian College of Physical Education,31.06
2016,4355,4355-2017,Adelaide College of Divinity,19.05
2016,4357,4357-2017,Blue Mountains Intl Hotel Management School,85.71
2016,4359,4359-2017,The College of Law,16.08
2016,4360,4360-2017,Perth Bible College,23.81
2016,4361,4361-2017,Endeavour College of Natural Health,30.3
2016,4362,4362-2017,International College of Hotel Management,14.95
2016,4363,4363-2017,Northern Melbourne Institute of TAFE,23.43
2016,4364,4364-2017,Edith Cowan College,18.16
2016,4365,4365-2017,Curtin College,17.77
2016,4366,4366-2017,Box Hill Institute,27.67
2016,4367,4367-2017,Melbourne Institute of Technology,21.27
2016,4368,4368-2017,Campion College,9.09
2016,4370,4370-2017,Tabor College Tasmania,43.75
2016,4371,4371-2017,SAE Creative Media Institute,25.71
2016,4374,4374-2017,Carnegie Mellon University Australia,2.17
2016,4375,4375-2017,Think: Colleges Pty Ltd,33.88
2016,4377,4377-2017,UOW College,17.27
2016,4378,4378-2017,JMC Academy,30.1
2016,4380,4380-2017,UTS:INSEARCH,12.71
2016,4381,4381-2017,"International College of Management, Sydney",20.26
2016,4382,4382-2017,Australian Guild of Music Education Inc.,0
2016,4383,4383-2017,Holmesglen Institute of TAFE,31.7
2016,4384,4384-2017,Kaplan Business School,23.91
2016,4385,4385-2017,Polytechnic West,80.6
2016,4386,4386-2017,Macleay College,26.97
2016,4387,4387-2017,Raffles College of Design and Commerce,16.28
2016,4388,4388-2017,Australian Academy of Music and Performing Arts,11.11
2016,4389,4389-2017,Cairnmillar Institute School,11.76
2016,4391,4391-2017,Eynesbury,22.59
2016,4392,4392-2017,Gestalt Therapy Brisbane,17.02
2016,4393,4393-2017,MIECAT,14.29
2016,4394,4394-2017,William Angliss Institute of TAFE,23.17
2016,4395,4395-2017,Adelaide Central School of Art,31.37
2016,4396,4396-2017,LCI Melbourne,30.15
2016,4401,4401-2017,Whitehouse Institute of Design; Australia,20.74
2016,4402,4402-2017,Leo Cussen Institute,0
2016,4405,4405-2017,Australian Institute of Professional Counsellors,44.95
2016,4406,4406-2017,Canberra Institute of Technology,25
2016,4407,4407-2017,Alphacrucis College,37.26
2016,4409,4409-2017,Universal Business School Sydney (UBSS),35.09
2016,4411,4411-2017,Stotts Colleges,53.11
2016,4412,4412-2017,Morling College,29.57
2016,4413,4413-2017,University College London,7.69
2016,4415,4415-2017,Top Education Institute,15.22
2016,4417,4417-2017,La Trobe Melbourne,29.58
2016,4418,4418-2017,Australian School of Management,98.04
2016,4419,4419-2017,National Art School,11.43
2016,4420,4420-2017,Kent Institute Australia,45.71
2016,4421,4421-2017,Le Cordon Bleu Australia,12.73
2016,4424,4424-2017,Kaplan Higher Education,25.98
2016,4425,4425-2017,Australian Institute of Business,24.09
2016,4426,4426-2017,John Paul ll Institute for Marriage and Family,3.85
2016,4428,4428-2017,Nan Tien Institute,36.84
2016,4450,4450-2017,TAFE Queensland,22.14
2016,4453,4453-2017,Australasian College of Health and Wellness,75
2016,4458,4458-2017,Australian Institute of Management Education & Training,45.78
2016,4468,4468-2017,South Metropolitan TAFE,24.19
2016,5555,5555-2017,Torrens University Australia,23.86
2016,6043,6043-2017,The Cairnmillar Institute,0.91
2016,7001,7001-2017,Collarts,33.46
2016,7007,7007-2017,Paramount College of Natural Medicine,37.5
2016,7014,7014-2017,Jazz Music Institute,11.76
2016,7035,7035-2017,Photography Studies College (Melbourne),30
2016,7041,7041-2017,Sydney Institute of Traditional Chinese Medicine,16.67
2016,7067,7067-2017,West Coast Institute of Training,100
2016,7072,7072-2017,Central Institute of Technology,44.86
2016,7073,7073-2017,Chisholm Institute,29.35
2016,7075,7075-2017,TAFE NSW,28.81
2016,7116,7116-2017,Study Group Australia Pty Ltd,28.96
2016,7124,7124-2017,Academy of Information Technology,20.73
2016,7221,7221-2017,VIT (Victorian Institute of Technology),26.27
2016,7252,7252-2017,AIPE,100
2016,7338,7338-2017,TAFE SA,43.59
2016,8071,8071-2017,North Metropolitan TAFE,10.89
